Leaves (x1),Petals (x2)
6,13
7,11
4,6
1,5
7,10
6,12
4,9
3,7
1,4
4,9
7,12
0,4
7,13
1,5
4,9
7,12
6,10
7,11
3,9
4,8
0,3
3,8
7,12
7,10
4,7
1,6
7,10
6,13
4,9
6,10
1,4
3,8
1,3
1,3
6,12
3,7
0,6
1,5
1,5
1,6
1,5
1,5
6,11
0,5
1,5
0,6
7,12
7,11
3,8
7,13
4,9
3,8
6,11
1,4
7,12
6,11
1,6
1,3
3,9
1,6
6,10
0,6
0,4
3,9
4,9
0,6
1,4
7,13
1,5
3,8
4,9
3,8
6,10
4,9
3,9
6,13
0,4
0,3
1,6
6,13
3,7
3,9
0,3
4,7
1,5
3,8
4,8
0,5
0,6
0,6
4,8
4,6
1,5
7,11
0,3
1,3
4,6
3,9
6,12
0,5
6,11
1,4
0,3
3,6
6,11
6,12
4,8
1,6
4,7
1,4
4,9
7,12
1,4
6,11
6,13
4,8
3,8
6,10
3,7
7,13
1,4
4,7
4,6
4,7
4,9
7,13
0,5
4,7
4,9
7,11
4,8
3,9
3,8
3,6
7,11
7,12
3,8
3,9
3,7
0,4
3,9
3,7
4,6
3,9
6,10
7,13
4,8
0,6
1,6
1,5
7,12
4,7
6,12
4,6
7,11
6,10
7,11
1,3
3,9
0,3
6,11
3,8
0,6
0,3
1,6
4,8
6,11
6,10
4,9
1,5
1,4
7,13
7,13
0,3
1,4
7,10
4,6
1,4
7,13
3,9
7,12
0,5
6,12
6,10
3,6
6,11
6,13
4,9
1,3
1,3
0,3
4,9
7,13
6,10
6,12
0,5
6,10
6,13
1,3
7,11
